route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
39382,186,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
11317,99,,Amtrak Thruway Connecting Service,2,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
42896,1207,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
42895,1206,,Amtrak Thruway Connecting Service,3,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,CAE4F1,000000
40751,51,,Acela,2,http://www.amtrak.com/acela-train,CAE4F1,000000
95,51,,Adirondack,2,https://www.amtrak.com/adirondack-train,CAE4F1,000000
60,51,,Amtrak Cascades,2,https://www.amtrak.com/cascades-train,CAE4F1,000000
41042,51,,Amtrak Hartford Line,2,https://www.amtrak.com/amtrak-hartford-line-train,CAE4F1,000000
77,51,,Auto Train,2,https://www.amtrak.com/auto-train,CAE4F1,000000
42948,51,,Berkshire Flyer,2,http://www.amtrak.com,CAE4F1,000000
71,51,,Blue Water,2,https://www.amtrak.com/michigan-services-train,CAE4F1,000000
96,51,,California Zephyr,2,https://www.amtrak.com/california-zephyr-train,CAE4F1,000000
84,51,,Capitol Corridor,2,https://www.amtrak.com/capitol-corridor-train,CAE4F1,000000
36922,51,,Capitol Limited,2,https://www.amtrak.com/capitol-limited-train,CAE4F1,000000
58,51,,Cardinal,2,https://www.amtrak.com/cardinal-train,CAE4F1,000000
72,51,,Carl Sandburg,2,https://www.amtrak.com/illinois-services-train,CAE4F1,000000
85,51,,Carolinian,2,https://www.amtrak.com/carolinian-piedmont-train,CAE4F1,000000
62,51,,City Of New Orleans,2,https://www.amtrak.com/city-of-new-orleans-train,CAE4F1,000000
36924,51,,Coast Starlight,2,https://www.amtrak.com/coast-starlight-train,CAE4F1,000000
36923,51,,Crescent,2,https://www.amtrak.com/crescent-train,CAE4F1,000000
61,51,,Downeaster,2,https://www.amtrak.com/downeaster-train,CAE4F1,000000
75,51,,Empire Builder,2,https://www.amtrak.com/empire-builder-train,CAE4F1,000000
36921,51,,Empire Service,2,https://www.amtrak.com/empire-service-train,CAE4F1,000000
36949,51,,Ethan Allen Express,2,https://www.amtrak.com/ethan-allen-express-train,CAE4F1,000000
86,51,,Heartland Flyer,2,https://www.amtrak.com/heartland-flyer-train,CAE4F1,000000
54,51,,Hiawatha Service,2,https://www.amtrak.com/hiawatha-train,CAE4F1,000000
56,51,,Illini,2,https://www.amtrak.com/illinois-services-train,CAE4F1,000000
93,51,,Illinois Zephyr,2,https://www.amtrak.com/illinois-services-train,CAE4F1,000000
94,51,,Keystone Service,2,https://www.amtrak.com/keystone-service-train,CAE4F1,000000
